ID THESE,status,title,discipline,DisciplineNew,DisciplineStandard,Topic,Localisation,time studied,Relation,Movement,subjects,abstract_fr,abstract_en,directeurTheseNP,directeurThesePPN_correct,auteurPpn,auteur,Institution,EtabSoutenanceNew,dateSoutenance,DateSoutenanceYear,langueThese,oaiSetSpec,etablissement,SubjectsNew,ecole_doctorale_id,ecole_doctorale_name
178446,soutenue,L' ajustement de la perception interculturelle : les cadres des entreprises françaises en Russie,Sciences De Gestion,sociologie***sciences economiques,sociologie,entreprises***organisations***travail,russie,,,FRIN,Gestion Interculturelle -- Russie,"La thèse étudie la perception interculturelle sur le lieu de travail, c’est-à-dire la perception entre individus appartenant à des groupes culturellement distincts et se trouvant en situation d’interaction professionnelle, avec pour terrain de recherche 97 entreprises françaises implantées en Russie. Pour accéder à la perception des individus, on fait appel au concept de représentation culturelle issu de la psychologie sociale. A partir d’une grille de 15 dimensions culturelles dégagées de la littérature sur la culture nationale, l’étude qualitative, menée auprès des 22 dirigeants et cadres supérieurs français et russes, explore les représentations culturelles - dont un nombre limité suffit à caractériser les individus de nationalités différentes - et fait émerger le profil culturel du manager russe au travail. L’étude quantitative porte sur les facteurs de réduction des écarts de perception interculturels et montre que l’ajustement de perception influence l’adaptation culturelle, dans sa dimension cognitive. Réalisée sur 163 cadres, elle vise à mesurer et expliquer les différences et les similitudes de perception entre les étrangers et les nationaux, en s’appuyant sur les facteurs de variabilité culturelle et en prenant l’auto-perception comme critère d’estimation de l’exactitude de perception. L’ajustement de la perception des cadres étrangers est expliqué par une vision positive, par le dépassement du stéréotypage négatif de la culture de contact et par une démarche d’immersion sociale (résidence dans le pays, fréquence des contacts et maintien de relations avec les nationaux). Il est plus facile pour les femmes expatriées et dans les petites entreprises. Ces variables coïncident avec les caractéristiques des expatriés ayant une perception de la culture de contact se rapprochant de celle des nationaux. Cela ouvre la voie à un inventaire des critères de l’efficacité des managers en situation interculturelle. ",We study intercultural perception on the workplace***i. E. The mutual perception of people members of groups culturally different and working together***taking 97 French companies located in Russia as a research field. In order to access the perception of individuals***we rely on the concept of representation borrowed from the social psychology theory. Relying on a framework of 15 cultural dimensions coming from the literature on national culture***a qualitative study involving 22 French and Russian top executive and managers is used to build on the cultural profile of the Russian manager. It comes that a short number of cultural representations is enough to re-identify the nationality of people in the sample. A quantitative study focusing on the factors which explain the gap in intercultural perception posits that perception adjustment commands cultural adaptation in its cognitive dimension. Implemented on 163 top managers***the study aims to measuring and explaining the differences and similarities between foreign and national managers on the basis of cultural variability factors***using self-evaluation as a criterion of perception accuracy. The foreign managers’ perception adjustment is then explained***on the one hand by a positive vision and the overcoming of the negative stereotyping of the contact culture and the other hand by a social integration process (living in the country***having frequent contacts and holding relations with the nationals). It seems easier for women and within small enterprises. Such variables are almost identical to the sojourners’ characteristics whose perception of the contact culture is close to the one of national people. This opens a road to an inventory of the criteria for management effectiveness in intercultural settings. ,roger alain,59376996,1.33233634E8,Tamara Kondrachova,Aix-Marseille 3,Aix-Marseille 3,01/01/2008,2008,fr,gestion et organisation de l'entreprise,Aix-Marseille 3,gestion interculturelle -- russie,,
223118,soutenue,Le cheval chez les Iakoutes chasseurs et éleveurs : De la monture à l'emblème culturel,Sciences Religieuses,anthropologie,anthropologie,animaux***ethnologie***iakoutie,russie,,,,Iakoute (langue) -- Guides Pratiques Et Mémentos***Yakoutes (peuple Turc) -- Moeurs Et Coutumes***Cheval -- Asie Centrale***Cheval -- Élevage -- Russie -- Sakha (russie)***Relations Homme-animal -- Asie Centrale***Animaux Et Civilisation -- Asie Centrale***Sakha (russie) -- Moeurs Et Coutumes,"Au nord-est de la Sibérie, les Iakoutes, venus de la région du Baïkal il y a moins de sept siècles, élèvent chevaux et bovins sur les alaas, dans les vallées et la taïga sur le cours inférieur du fleuve Léna. La bibliographie en russe concernant ce peuple est très riche et comprend des récits de voyageurs, des comptes rendus d’administrateurs et des analyses et descriptions d’ethnographes antérieurs à 1917, mais également datant de la période communiste et des années postsoviétiques. L’analyse rhétorique est alimentée par les sources occidentales, parmi lesquelles les travaux d’Evelyne Lot-Falck, de Laurence Delaby et de Roberte Hamayon sur les peuples de Sibérie ainsi que ceux de Jean-Pierre Digard sur le cheval et la domestication. Cousins des peuples cavaliers turco-mongols d’Asie centrale, les Iakoutes affirment leur appartenance à cet ensemble tout en mettant en avant leur originalité. Concevant leur cheval davantage comme un animal de la forêt que comme du simple bétail, ils en pratiquent l’élevage tout en préservant son caractère « sauvage ». Dans un système domesticatoire qui ne tente pas de soumettre l’animal, celui-ci occupe, aussi bien dans les faits qu’à travers les symboles, une place entre animal domestique et bête sauvage. […] L’exemple Iakoute démontre l’importance de la figure du cheval dans le système de pensée d’un peuple chasseur et éleveur de Sibérie, ainsi que le parallélisme entre l’amoindrissement de la fonction utilitaire d’un artefact et le renforcement de la symbolique dont il est le support.",At the North-East of Siberia***the Yakuts***who arrived from the Baikal region less than seven centuries ago***raise horses and cattle in the alaas***in the valleys and the taiga on the lower course of Lena River. The bibliography in Russian language concerning this people is rich and includes narratives by travellers***accounts by administrators as well as analyses and descriptions by ethnographers prior to 1917***but dating as well of the communist period and of the post-soviet wars. The theoretical analysis was fed by Western sources***including the works of Evelyne Lot-Falck***Laurence Delaby and Roberte Hamayon about the peoples of Siberia as well as those of Jean-Pierre Digard about the horse and its domestication. Cousins of the horse-riding Turkic and Mongolian peoples of Central Asia***the Yakuts are aware of their belonging to that ensemble while putting forward their originality. Conceiving their horse more like an animal of the forest than like ordinary cattle***they breed it while preserving its “wild” character. Inside a domestication system that does not try to submit the animal***this one finds a place as well in the facts as through the symbols***between the domesticated animal and wild beast. […] The Yakut example shows the importance of the horse figure in the system of thinking of a hunting and breeding people of Siberia***as well as the parallelism between the shrinking of the utilitarian function of an artefact and the reinforcing of the symbolism of which it is the support.,hamayon roberte,26913151,15020342X,Emilie Maj,École pratique des hautes études (Paris). Section des sciences religieuses,École pratique des hautes études (Paris). Section des sciences religieuses,01/01/2007,2007,fr,religion,École pratique des hautes études (Paris). Section des sciences religieuses,iakoute (langue) -- guides pratiques et mémentos***yakoutes (peuple turc) -- moeurs et coutumes***cheval -- asie centrale***cheval -- élevage -- russie -- sakha (russie)***relations homme-animal -- asie centrale***animaux et civilisation -- asie centrale***sakha (russie) -- moeurs et coutumes,,
304806,soutenue,Le Cadre juridique des investissements français en fédération de Russie : Histoire et perspective,Droit,droit,droit,investissements,russie,,,FRIN,Droit International -- Codification***Relations Internationales***Russie -- Politique Et Gouvernement,"Le cadre juridique des investissements directs témoigne de l'existence, de la nature et des modalités d'application du droit en Russie. Face à un cadre juridique moderne presque complet en 2000, le droit en Russie a néanmoins une présence ambivalente dans l'économie dont la conséquence majeure est la relative insécurité juridique des rapports économiques. Pourtant, cette insécurité n'est pas uniforme et ne laisse pas la place à un vide. Des règles et des pratiques informelles se substituent ou se mêlent parfois au cadre juridique formel pour commander le recours au droit, son application et son effectivité. Outre la présentation encore inédite du cadre juridique actuel en Russie et son analyse, cette thèse s'attache à identifier les origines d'une réalité juridique complexe et propose des clefs d'interprétation de cette complexité où l'histoire de la Russie depuis les origines tient un rôle essentiel. C'est par une approche historique et transversale faisant largement appel aux disciplines connexes au droit que cette thèse propose une approche synthétique globale du cadre juridique des investissements mais, surtout, des clefs d'interprétation forgées par l'histoire sans lesquelles on ne saurait ni comprendre son fonctionnement actuel ni essayer d'anticiper son évolution future ni, surtout, l'interpréter et proposer des solutions d'amélioration du dispositif. C'est ainsi que cette thèse ouvre sur l'ensemble du champ juridique russe et dépasse le strict cadre du droit des affaires pour intégrer l'ensemble des branches du droit public et privé et, notamment, le rôle du dispositif constitutionnel. Elle intègre, enfin, une forte dimension économique, géopolitique, sociologique et prend en compte les relations entre la Russie et la France, la coopération actuelle et ses perspectives.",The legal framework of foreign investments witnesses of the existence***the nature and of the applying of law in Russia. Despite an almost completed modern legal framework in 2000***law in Russia remains ambivalent and the main consequence is a relative legal insecurity regarding economic relationships. However***this relative insecurity is not uniform and Russia is not a world without rules. The formal legal framework sometimes allow the substitution or the superimposition of both informal rules and practices to command the reference to the law***its applying and its effectiveness. Beyond the presentation of the legal framework in Russia***this thesis aims at identifying the origins of a complex legal reality and proposes interpretation keys to understand this reality where the history of Russia holds an essential role. This through a transversal approach of the legal framework of foreign investments***which refers mainly to economy***geopolitics and sociology. Without these keys***there is neither real and relevant understanding of the legal framework nor any possibility to forecast its possible future evolution***nor interpretation possibility and above all***no possibility to propose and formulate solutions for its improvement. Thus***this thesis opens on the full Russian legal landscape and overcome the strict business law to integrate all branches of public and private law and***notably***constitutional law***as well as relations between France and Russia***the present co-operation and its perspective.,foviaux,74642308,7.3437174E7,Antoine Kuruneri-Millet,Cergy-Pontoise,Cergy-Pontoise,01/01/2000,2000,fr,droit,Cergy-Pontoise,droit international -- codification***relations internationales***russie -- politique et gouvernement,,
418297,enCours,Païssy Velicicovsky et sa contribution à la renaissance de l’hesychasme au XVIIIème siècle,Théologie catholique,histoire moderne,histoire moderne,religion,,18-18,,,"Païssy Velicicovsky,L'hesychasm,Prière du coeur","Je partage la thèse en trois grands chapitres :\
\
I. Le rôle de L’hesychasme dans la tradition orthodoxe. Dans ce chapitre j’essayerai de définir le phénomène de l’hesychasme, de encadre ce phénomène dans XVIIIème siècle, et de voir son état dans les payes par ou a passé le vénérable Païssy Velicicovsky.\
I.A. Bref aperçu du phénomène de l’hésychasme.\
I.B. L’hésychasme en Russie \
I.C. L’hésychasme  dans les Principautés Roumaines\
I.D. La vie hésychaste au Mont Athos\
\
II. Païssy Velitchkhovsky, une personnalité complexe  \
Dans ce deuxième chapitre je veux analyser le parcours de Païssy Velicicovsky et ses préoccupations hésychastes et culturelles.\
II.A. La recherche de Dieu, de l’hesychie puis  l’entrée dans la vie monastique\
II.B. Païssy – novice et autodidacte\
II.C. Païssy Staretz (Abbé)\
II.D. Païssy, fondateur de l’école de traduction patristique\
II.E. Païssy et la Philocalie (Dobrotoliubie, en slavon, Saint-Pétersbourg 1793)\
\
III.Le Païssianisme, mouvement spirituel-hésychaste et culturel\
Dans la dernière partie je prévu d’analyser le rayonnement du paissianisme au Principauté Roumaine, ainsi que dans l’espace slave et de faire la relation entre son mouvement spirituelle et le célèbre pèlerin russe.\
III.A. La prière du Jésus ou la prière du cœur- un rôle central dans les établissements païssiens\
III.B.La réception  et continuation du Païssianisme, dans l’espace roumaine III.C. L’héritage du païssianisme dans la spiritualité slave    III.D. Le rôle du Païssianisme à l’époque des Lumières","I share the thesis into three chapters:\
\
I. The role of Hesychasm in the Orthodox tradition. In this chapter I will try to define the phenomenon of Hesychasm***frames of this phenomenon in the eighteenth century***and see its status in the spent or paid by the venerable Paisley Velicicovsky.\
IA Brief overview of the phenomenon of hesychasm.\
I.B. Hesychasm in Russia\
IC Hesychasm in the Romanian Principalities\
The I.D. hesychast life on Mount Athos\
\
II. Paisley Velitchkhovsky***a complex personality\
In this second chapter I want to analyze the course of Paissy Velicicovsky and hesychasts and cultural concerns.\
II.A. The search for God***the hesychie then entering the monastic life\
II.B. Paisley - novice and self-taught\
II.C. Paisley Staretz (Abbot)\
II.D. Paisley***founder of the school of translation patristic\
II.E. Paisley and the Philokalia (Dobrotoliubie***Slavonic***St. Petersburg 1793)\
\
III.The Païssianisme***spiritual and cultural movement-hesychast\
In the last part I expected to analyze the radiation paissianisme Romanian Principality***and in the slave space and make the relationship between the spiritual movement and the famous Russian pilgrim.\
III.A. The prayer of Jesus or the prayer of the heart-a central role in the institutions païssiens\
III.B.La reception and continuation of Païssianisme in the Romanian space\
III.C The legacy of the slave spirituality païssianisme\
III.D The role of Païssianisme to the Enlightenment",vannier marie-anne,50138707,,Ion Tirgoala,Université de Lorraine,,13/05/2015,2018,,Théologie chrétienne,"Université de Lorraine,Université de Lorraine",,171833171,Ecole doctorale Fernand Braudel (Nancy-Metz)
223165,soutenue,Pouvoir central et pouvoirs régionaux en Russie : le cas de la République Sakha (Iakoutie),Science Politique,science politique,science politique,politique interieure***regions,russie***siberie,20-20,,,Russie -- Politique Et Gouvernement***Sakha (russie) -- Politique Et Gouvernement,"La presente etude analyse les relations entre le gouvernement de russie et la republique sakha (iakoutie), le plus vaste des 89 territoires membres de la federation de russie. Depuis la disparition de l'union sovietique, ces relations connaissent des changements spectaculaires. Les dirigeants de la republique sakha participent desormais a la gestion de dossiers importants qui concernent leur territoire, comme le controle de l'extraction et de l'utilisation des ressources naturelles, les strategies de developpement, les parametres ethniques et demographiques, les cultures des populations autochtones. Cette participation, variable selon les dossiers, est le resultat d'une negociation entre les dirigeants politiques de la republique sakha et le gouvernement federal. Jusqu'en 1995. Les dirigeants iakoutes ont obtenu des engagements et des transferts de competences qui stimulent un developpement autonome du territoire. Malgre la presence d'aspects conflictuels dans les relations entre moscou et iakoutsk, et malgre un essor du nationalisme sakha, tolere par le pouvoir central, l'elite politique de iakoutie ne semble pas envisager la separation complete de la russie.",This study analyses the relations between the russian government and the sakha republic (yakutia)***the largest of the 89 territories which make up the russian federation. Since the disappearance of the soviet union***the relationship has altered. Leaders of the sakha republic now have a say in important decisions concerning their territory***e. G. Supervision of the extraction and use of natural resources***development policies***ethnic and demographic affairs and the culture of indigenous groups. The level of participation varies according to the matter in hand and is the result of negotiation between leaders of the sakha republic and the federal government. Up to 1995 yakut leaders have obtained the transfer of certain powers which promote the development of the autonomy of this territory. Despite conflicting views in the relations between moscow and yakutsk and despite an increase in sakha nationalism***tolerated by the central government***it is unlikely that the political elite of the sakha republic will endorse the idea of full separation from russia.,martres jean-louis,27014207,1.85809537E8,Ayaal Herdam,Bordeaux 4,Bordeaux 4,01/01/1998,1998,fr,science politique,Bordeaux 4,russie -- politique et gouvernement***sakha (russie) -- politique et gouvernement,,
450970,soutenue,Les perspectives de développement des opérateurs de transport terrestre de marchandises en Sverdlovskaya oblast (Fédération de Russie) dans un contexte d'évolution rapide des pratiques logistiques chez les chargeurs régionaux : une application de la démarche prospective,Sciences Économiques,economie industrielle,sciences economiques,transports***developpement,russie***sverdlovsk,,,,Transporteurs -- Russie***Logistique (organisation)***Transport -- Aspect Économique -- Russie***Camionnage -- Russie***Transports Ferroviaires -- Marchandises -- Russie,"L'étude que nous avons conduite auprès d'une quarantaine d'entreprises industrielles de Sverdlovskaya Oblast (Fédération de Russie) a montré une forte augmentation de l'importance accordée à la logistique au sein de ces organisations. Les entreprises du secteur des transports sont les premières à être concernées. La logistique a fait évoluer les logiques de temps et d'espace et les exigences des chargeurs. Dans ce cadre, le besoin d'intégration dans les chaînes logistiques globales et régionales s'est considérablement accru. En outre, le fonctionnement des opérateurs de transports régionaux russes est actuellement conditionné par un grand nombre de facteurs environnementaux caractérisés par de nombreux changements majeurs. Ainsi, l'objectif de cette thèse est double. Il s'agit dans un premier temps de proposer une étude détaillée de l'environnement concurrentiel des transporteurs régionaux et de mettre en avant les facteurs clés essentiels à leur développement afin de les assister dans cette période de changement. Dans un deuxième temps, notre travail s'attachera à analyser de quelle façon les transporteurs de Sverdlovskaya Oblast peuvent se préparer efficacement au développement logistique observé chez les chargeurs régionaux. Afin de satisfaire aux mieux les principaux enjeux de notre recherche, nous avons opté pour une méthode prospective, s'appuyant sur la méthode des scénarios. Les analyses structurelle et morphologique ainsi que celle du jeu des acteurs nous ont permis de construire un scénario tendanciel. Ce dernier décrit l'évolution la plus probable de la structure du marché des transports terrestres de marchandises de Sverdlovskaya Oblast, jusqu'en 2020. Cette démarche nous a également permis de construire des scénarios logistiques alternatifs et de proposer des recommandations aux opérateurs du secteur du transport régional afin de les guider dans leur développement stratégique. ",Our previous research***performed across forty industrial companies in Sverdlovskaya oblast (Russian Federation)***reveals and illustrates the increasing significance of logistics to these organizations. Transportation companies are among the first to have an interest in this development. Logistics management has developed time and space notions and changed the transport operation requirements of cargo owners. In this context***there is an increasing need to integrate into the global and regional supply chains. At the same time***the work of Russian transport operators today is to a large extent conditioned by a great number of external environmental factors which have recently been characterised by several substantial shifts. Therefore***this PhD has a dual pupose. Firstly***it provides a detailed study of the competitive environment within which the regional transport companies are functioning today and distinguishes the key-factors of their development in order to assist them through this period of change. Secondly***there is an analysis of how the transport companies of Sverdlovskaya oblast can efficiently prepare themselves for the development of logistics in their clients' companies. In order to achieve the main objectives of this study***the foresight approach and***more particularly***the scenario method are applied. Founded on the results of cross-impact and morphological analysis***as well as an analysis of the key players in the regional transport sector***we have constructed a tendencial scenario. This scenario describes the most probable development of the market structure of the road and rail freight transport sector of Sverdlovskaya oblast to 2020. This approach has furthermore allowed us to elaborate some recommendations to guide the regional transport operators with their strategic development. ,colin jacques,26794128,1.64512551E8,Nina Nikolaevna Nesterova,Aix Marseille 2,Aix Marseille 2,01/01/2008,2008,fr,economie,Aix Marseille 2,transporteurs -- russie***logistique (organisation)***transport -- aspect économique -- russie***camionnage -- russie***transports ferroviaires -- marchandises -- russie,,
150536,soutenue,Contribution à l'analyse juridique de l'intervention du Fonds monétaire international dans la transition de la Russie,Droit Public,droit international,droit,fmi***transition,russie,,,,Fonds Monétaire International***Russie -- Conditions Économiques -- 1991-....,"Organisation multilatérale dont l'ordre juridique interne intègre et reflète sa vocation économique, le Fonds monétaire international a dû s'adapter aux fluctuations des besoins de ses membres et à l'évolution de la conjoncture internationale en redéfinissant au fil du temps son mandat. Après s'être faite le gestionnaire de la dette des pays du Sud dans les années 80, l'institution gardienne de l'orthodoxie monétaire a relevé le défi de l'accompagnement de la Russie dans la création ex-nihilo d'une économie de marché, partie intégrante de son processus de démocratisation. Cette recherche se propose d'examiner dans quelle mesure l'objectif d'intégration économique a influencé la définition des fondements théoriques de l'axiologie véhiculée par le FMI au travers de sa conditionnalité, et de quelle façon les enjeux politiques de son intervention en Russie ont conduit les puissances du G7 à exercer des pressions afin qu'il soit peu regardant sur certains aspects du respect de ses programmes, et ne fragilise pas le pouvoir politique en place, quitte à compromettre le succès des réformes en cours et à violer le droit interne de l'organisation. Il semble acquis que le FMI n'a pas été un facteur externe de démocratisation pour la Russie en transition. Impliqué dans un processus de mutation protéiforme et complexe excédant ses compétences et auquel il n'a pu garantir une issue favorable, le FMI a toutefois bénéficié d'une impunité évidente eu égard à ses manquements, et suscité des interrogations nombreuses quant aux moyens de contrôle entourant ses activités, point qui fera l'objet d'une réflexion théorique quant aux limitations des implications juridiques des activités de l'institution. ",Multilateral organization whose internal legal order integrates and reflects its economic purpose***the International Monetary Fund has had to adapt to the fluctuating needs of its member States and to the international conjuncture evolution by constantly redefining its mandate. After becoming the manager of the southern countries debt in the Eighties***the institution***guardian of monetary orthodoxy took up the challenge of assisting Russia in the ex-nihilo creation of a market economy***thereby becoming an integral part of its democratization process. This research proposes to examine to what degree the objective of economic integration influenced the definition of the theoretical bases of the axiology conveyed by the IMF through its conditionality***and how the policy issues surrounding IMF's intervention in Russia led the G7 to exert pressures to ensure that the organization paid little attention to certain aspects of the respect of its programs***and in order that the Fund did not weaken the political authority in place***even if this meant to compromise the sucess of current reforms and to violate the IMF's internal law. It seems clear that IMF was not an external factor of democratization for transition in Russia. Implied in a multi-form and complex process of change exceeding its competencies and from which it could not guarantee a favorable exit***IMF however profited from an obvious impunity with respect to its failures***a situation which leads to numerous questioning about the methods needed to control the Fund's activities***an issue which will be subject of a theoretical reflexion as to the limitations of the legal implications concerning the activities of the institution. ,massias jean-pierre,31195318,1.47143535E8,Peggy-Anne Julien,Clermont-Ferrand 1,Clermont-Ferrand 1,01/01/2009,2009,fr,droit,Clermont-Ferrand 1,fonds monétaire international***russie -- conditions économiques -- 1991-....,,
109727,soutenue,"Formation des professeurs en France et en Russie (problèmes à surmonter, situation actuelle. ) : Les nouvelles approches dans l'enseignement du FLE (notamment à travers la chanson, les clips et les films français)",Sciences Du Langage. Linguistique Et Phonétique Générales,sciences du langage,sciences du langage,education***politique publique,russie,,compar fr,,Français (langue) -- Étude Et Enseignement -- Allophones -- Méthodologie***Enseignement -- Méthodes Audiovisuelles***Francophonie -- Russie***Français (langue) -- À L'étranger -- Russie***Langues Vivantes -- Étude Et Enseignement,"La création de l'Union Européenne et la propagation des idées du plurilinguisme a contribué à la croissance d'une demande de connaissance du FLE. Ceci confirme l'actualité de notre travail dont l'ambition vise à nourrir la réflexion actuelle de l'enseignement/apprentissage du FLE dans les établissements d'enseignement secondaires et supérieurs russes. Dans cette recherche, nous essayerons de confirmer l'hypothèse selon laquelle l'utilisation des documents authentiques en cours de FLE (chansons, clips, films français) déclenche la motivation pour l'apprentissage de cette langue. Le premier chapitre propose une brève excursion dans l'histoire de la francophonie en Russie et accentue l'attention sur les politiques linguistiques de la France et de la Russie. Dans le deuxième chapitre, l'attention se porte sur les questions de la formation des enseignants dans les deux pays concernés et remet en question le statut des enseignants de langue dans la société contemporaine. La troisième partie expose les principaux objets du cours de FLE et donne une classification des motivations pour l'enseignement/apprentissage du FLE. La quatrième partie examine des avantages d'utilisation des documents authentiques en cours de langue et propose des exemples d'activités langagières. Ce chapitre ne donne pas de leçons toutes faites, mais sert à donner des idées du travail original capable de motiver les apprenants. Le cinquième chapitre est consacré à l'analyse et discussion des résultats obtenus. Dans les Annexes, on trouve la présentation de la francophonie en Russie et l'analyse schématique des résultats obtenus",,gandon francis***dmitrenko tatiana,85707643***131439960,1.31440756E8,Nadine Gordienko,Caen,Caen,01/01/2008,2008,fr,linguistique générale,"Caen,Université pédagogique d'Etat de Kolomna (Russie)",français (langue) -- étude et enseignement -- allophones -- méthodologie***enseignement -- méthodes audiovisuelles***francophonie -- russie***français (langue) -- à l'étranger -- russie***langues vivantes -- étude et enseignement,131441337,Université pédagogique d'Etat de Kolomna (Russie)
250175,soutenue,"""Van'ka Kain : le Cartouche russe : essai de biographie criminelle dans la Russie de Catherine II",Histoire,histoire moderne,histoire moderne,criminalite***catherine ii***biographie,russie,1175-1779,,,Komarov***Matveï***Vanʹka Kain (1718-1756?)***Police -- Russie -- Moscou (russie) -- 18e Siècle***Roman Russe -- 18e Siècle***Histoire Sociale -- 18e Siècle***Littérature Russe -- 18e Siècle -- Thèmes***Motifs***Héros (personnes) -- Dans La Littérature***Russie -- 1762-1796 (catherine Ii),"Entre 1175 et 1779, dans la Russie de Catherine II, paraissent successivement trois textes racontant la vie et la carrière du bandit et maître-espion Van'ka Kain, né en 1718 et condamné aux travaux forcés en 1756. Ce travail publie les trois textes de base du ""cycle de Kain"" (Récit court, Autobiographie et roman de Matvej Komarov) et donne une traduction française du Récit court et du roman de Komarov. Il reconstitue les étapes de l'évolution du cycle entre 1775 et 1826, marquée par des va-et-vient entre les textes, facilités par le statut encore flou des notions d'oeuvre et d'auteur. A cette occasion, il tente d'apporter des réponses aux polémiques sur les annexes de ces oeuvres: les chansons ""de Kain"" et l'Histoire de Louis-Dominique Cartouche. Après avoir récapitulé les faits connus et probables de la biographie de Matvej Komarov, il examine ses sources littéraires potentielles, russes ou étrangères, et soumet son roman à l'épreuve des faits attestés de la vie du véritable Kain, la retraçant ainsi brièvement, afin d'essayer d'apprécier l'ampleur du travail de l'auteur. Enfin, il fait le bilan de la postérité des oeuvres du cycle de Kain et du mythe du héros au XIXe et au XXe siècle","This study of Russian attempts to compose a biography of Van'ka Kain (1718-after 1756) includes the three earliest known narratives depicting the career of the celebrated rogue turned police informant***originally published between 1775 and 1779: the so-called ""Short Tale""***""Kain's Autobiography"" and a novel by Matvej Komarov***as well as french translations of the Short Tale and Komarov's novel. It defines successive stages of the biographical cycle between 1775 and 1826 and identifies a network of previously undetected cross-influences***long obscured by the uncertain status of the author and the literary texts. These complex links compel the reevaluation of widely-held assumptions about the influence of the collection of songs and the Story of the Life of Louis-Dominique Cartouche published together with some versions. The biography of Matvej Komarov is first reconstructed. His work is then compared with probable literary sources and known facts about the life of the historical Van'ka Kain and his contribution to the emergence of the novel form in Russia is evaluated. Finally***by tracing the reception of the cycle and its main character in the 19th and 20th centuries***the study illustrates how the Russian printing press created its first popular myth",barbier frédéric,26704560,12947715X,Ecatherina Rai-Gonneau,École pratique des hautes études (Paris). Section des sciences historiques et philologiques,École pratique des hautes études (Paris). Section des sciences historiques et philologiques,01/01/2006,2006,fr,histoire,École pratique des hautes études (Paris). Section des sciences historiques et philologiques,komarov***matveï***vanʹka kain (1718-1756?)***police -- russie -- moscou (russie) -- 18e siècle***roman russe -- 18e siècle***histoire sociale -- 18e siècle***littérature russe -- 18e siècle -- thèmes***motifs***héros (personnes) -- dans la littérature***russie -- 1762-1796 (catherine ii),,
366630,soutenue,Les Etats-Unis et la Fédération de Russie depuis la fin de la guerre froide : Entre visées messianiques et réalités géopolitiques,Études Anglophones,ri,ri,politique etrangere***guerre froide,russie***usa,20-21,rel us,,Guerre Froide***Relations Internationales -- 1989-....***Messianisme Politique***Russie -- 1990-....***États-unis -- Relations Extérieures -- 1989-....***Etats-unis***Fédération De Russie***Messianisme***Guerre Froide***Géopolitique***Relations Internationales***Eurasie***United States***Russian Federation***Messianism***Cold War***Geopolitics***International Relations***Eurasia,"Notre travail de recherche se propose d'étudier les ressorts qui sous-tendent les relations asymétriques entre les Etats-Unis et la Fédération de Russie depuis la fin de la guerre froide et la disparition de l’Union soviétique. Afin de comprendre la nouvelle relation bilatérale au cours du quart de siècle écoulé, il nous faut analyser l’héritage que laissent plusieurs années de rivalité idéologique entre les deux Etats-continents. Il nous faut comprendre la décision soviétique de renoncer à cette confrontation idéologique et le rôle qu’ont pu jouer les Etats-Unis dans cette décision. Depuis leur accession au rôle d'unique hyperpuissance, les Etats-Unis, tout en cherchant à développer leur conception de la « démocratie libérale », s’efforcent de faire obstacle à l'émergence de tout peer competitor sur la scène internationale et envisagent pour la Russie un rôle de junior partner régional en Eurasie. Cependant, cette dernière a développé, à travers le temps, un hubris de ''grande puissance'', une forme propre de « démocratie dirigée » et un messianisme particulier qui l'empêchent d’accepter le rôle prédéfini pour elle par les Etats-Unis car il ne ferait qu’exposer l’asymétrie de la relation bilatérale. Ainsi, il nous semble indispensable de nous demander quelles places tiennent les réalités géopolitiques et les composantes idéologiques et messianiques dans cette nouvelle relation asymétrique et à quelle(s) fin(s).",Our research aims at studying the asymmetrical relations between the United States and the Russian Federation since the end of the Cold War and the collapse of the Soviet Union. In order to understand how the new bilateral relation has evolved throughout the past twenty-five years***our research analyses the heritage left by many years of ideological rivalry between these two continent-states. Our research also aims at finding out the reasons why the Soviet Union eventually decided to give up the ideological confrontation and what role the United States played in that decision. The United States has become the only remaining hyperpower trying to prevent any other peer competitor on the international scene from emerging and leaving Russia with only a regional power in Eurasia while developing and expanding its own concept of Liberal Democracy. However***throughout the centuries ***Russia itself has developed its own hubris as a great power and as a managed democracy as well as some messianism that would not accept any role predefined by the United States. Thus***our research tries to consider the geopolitical as well as ideological components within the new asymmetrical relation between the two countries and to what end(s).,vagnoux isabelle,33438587,1.80039393E8,Stéphane Dupuy,Aix-Marseille,Aix-Marseille,01/01/2013,2013,fr,histoire générale de l'amérique du nord***histoire générale de l'asie***orient***extrême-orient,Aix-Marseille,guerre froide***relations internationales -- 1989-....***messianisme politique***russie -- 1990-....***états-unis -- relations extérieures -- 1989-....***etats-unis***fédération de russie***messianisme***guerre froide***géopolitique***relations internationales***eurasie***united states***russian federation***messianism***cold war***geopolitics***international relations***eurasia,154784788,"Ecole Doctorale Langues, Lettres et Arts (Aix-en-Provence)"
